rows,N,cmean,ITT,FirstStage,LATE,p_val
vote_midterm_2010_2,74922,22.894745,-2.5899353,.22859186,-11.329954,.079578899
se,,42.016369,1.5290475,.012950907,6.4626837,
vote_midterm_2010_2,74922,22.894745,-1.1704208,.22859186,-5.1556287,.22760187
se,,42.016369,.98410475,.012950907,4.2730002,
vote_other_postlottery_1,74922,20.527788,.5773688,.23784208,2.4275301,.10681972
se,,40.390972,.35759291,.0038112036,1.5053012,
